Results,EUR/USD Close,EUR/USD High,EUR/USD Low,USD/JPY Close,USD/JPY High,USD/JPY Low,USD/CHF Close,USD/CHF High,USD/CHF Low,GBP/USD Close,GBP/USD High,GBP/USD Low,USD/CAD Close,USD/CAD High,USD/CAD Low,EUR/GBP Close,EUR/GBP High,EUR/GBP Low,EUR/JPY Close,EUR/JPY High,EUR/JPY Low,EUR/CHF Close,EUR/CHF High,EUR/CHF Low,AUD/USD Close,AUD/USD High,AUD/USD Low,GBP/JPY Close,GBP/JPY High,GBP/JPY Low,CHF/JPY Close,CHF/JPY High,CHF/JPY Low,GBP/CHF Close,GBP/CHF High,GBP/CHF Low,NZD/USD Close,NZD/USD High,NZD/USD Low
2020-03-13,1.1065,1.1221,1.1055,108.34,108.44,104.51,0.9566,0.957,0.9422,1.231,1.2625,1.2278,1.3915,1.3994,1.378,0.8985,0.9022,0.8843,119.89,120.01,116.9,1.0587,1.0619,1.0548,0.6143,0.6327,0.6122,133.39,134.32,131.26,113.22,113.38,110.62,1.1777,1.1935,1.1708,0.6037,0.6161,0.6018
2020-03-16,1.1155,1.1237,1.1077,106.39,107.57,105.15,0.9478,0.9536,0.9393,1.224,1.2431,1.2204,1.3974,1.4017,1.3733,0.9111,0.9152,0.8989,118.68,119.93,117.16,1.0573,1.0632,1.0536,0.6126,0.6306,0.608,130.23,133.06,128.92,112.22,113.38,111.13,1.1601,1.1779,1.1546,0.6056,0.6153,0.5986
2020-03-17,1.0996,1.1189,1.0956,107.65,107.87,105.87,0.9602,0.9649,0.9457,1.2074,1.2275,1.2004,1.4234,1.4276,1.3962,0.9104,0.9141,0.9065,118.4,119.65,117.3,1.0558,1.0617,1.0543,0.5987,0.6149,0.596,129.99,131.21,128.61,112.1,112.87,111.13,1.1593,1.1655,1.1567,0.5935,0.6096,0.5916
2020-03-18,1.0863,1.1045,1.0802,108.02,108.66,106.77,0.9697,0.975,0.9567,1.1581,1.213,1.1467,1.4541,1.4651,1.4181,0.9377,0.9429,0.9068,117.35,118.55,116.87,1.0536,1.0589,1.0528,0.5776,0.6028,0.5701,125.1,130.33,124.19,111.35,112.15,110.96,1.123,1.1651,1.1174,0.5747,0.5966,0.5696
2020-03-19,1.0672,1.0981,1.0655,110.63,110.83,107.89,0.986,0.9879,0.9638,1.1522,1.1792,1.1475,1.4508,1.4668,1.442,0.926,0.9502,0.9124,118.06,119.33,117.4,1.0525,1.0608,1.0522,0.577,0.5963,0.5511,127.47,129.57,124.29,112.16,113.04,111.49,1.1362,1.1542,1.1117,0.5731,0.5916,0.5471
2020-03-20,1.0641,1.0832,1.0639,111.18,111.51,109.33,0.9895,0.99,0.9744,1.158,1.1931,1.1414,1.4403,1.4538,1.415,0.9187,0.934,0.8996,118.31,119.33,117.4,1.053,1.0561,1.0523,0.5813,0.5986,0.5665,128.73,132.05,126.45,112.31,113.14,111.86,1.1458,1.1716,1.1274,0.5696,0.5882,0.5612
2020-03-23,1.0733,1.0827,1.0637,111.47,111.59,109.67,0.9835,0.9901,0.9791,1.1515,1.1715,1.1448,1.4519,1.4561,1.4336,0.9318,0.9389,0.9154,119.62,119.94,117.72,1.0554,1.0603,1.0528,0.579,0.5842,0.5701,128.33,129.53,127.39,113.26,113.57,111.49,1.1326,1.152,1.1247,0.5699,0.5739,0.5594
2020-03-24,1.0756,1.0889,1.0722,111.47,111.63,110.1,0.9833,0.9852,0.9718,1.1727,1.1801,1.151,1.4496,1.4534,1.4373,0.9168,0.9325,0.9146,119.9,120.53,118.82,1.0576,1.0603,1.0552,0.59,0.5976,0.5814,130.74,131.45,127.96,113.33,113.79,112.42,1.1534,1.1581,1.1329,0.5769,0.584,0.5691
2020-03-25,1.0867,1.0883,1.0761,111.28,111.69,110.76,0.978,0.9837,0.9769,1.1867,1.1974,1.164,1.4204,1.4482,1.4177,0.9156,0.9275,0.9055,120.93,121.04,119.52,1.0628,1.0639,1.0567,0.5957,0.6073,0.5931,132.03,133.42,129.9,113.74,113.99,112.85,1.1606,1.1721,1.1422,0.5829,0.5912,0.5788
2020-03-26,1.1032,1.1045,1.087,109.36,111.31,109.36,0.9629,0.9779,0.9622,1.2134,1.2183,1.1778,1.4048,1.4276,1.4008,0.9089,0.9275,0.9055,120.65,121.09,119.97,1.0623,1.0653,1.0613,0.6061,0.6072,0.587,132.69,133.49,130.57,113.54,114.02,112.9,1.1684,1.1737,1.1505,0.5969,0.5977,0.5777
2020-03-27,1.1106,1.1124,1.0955,107.87,109.72,107.83,0.9538,0.9656,0.9537,1.245,1.2455,1.2133,1.3955,1.4154,1.3955,0.8915,0.9096,0.8907,119.8,121,118.81,1.0591,1.0637,1.0563,0.6178,0.6188,0.6024,134.3,134.41,132.14,113.05,113.85,112.43,1.1875,1.1896,1.1679,0.6045,0.6059,0.5911
2020-03-30,1.1038,1.1144,1.1011,107.88,108.3,107.15,0.9592,0.9612,0.9502,1.239,1.2469,1.2318,1.4136,1.4184,1.4012,0.8906,0.8989,0.8868,119.06,120.03,118.8,1.0587,1.0622,1.0551,0.616,0.6184,0.6113,133.65,134.42,132.76,112.42,113.32,112.33,1.1884,1.1931,1.1777,0.6002,0.6064,0.5984
2020-03-31,1.1006,1.1055,1.0927,107.71,108.74,107.47,0.964,0.9687,0.9579,1.2414,1.2473,1.2256,1.4093,1.4349,1.4071,0.8864,0.8968,0.8813,118.52,119.71,118.19,1.0612,1.0624,1.056,0.6129,0.6213,0.608,133.71,134.61,133.18,111.68,113.08,111.47,1.1972,1.2033,1.1787,0.5948,0.6038,0.5909
2020-04-01,1.0925,1.104,1.0903,107.18,107.94,107.01,0.9676,0.9692,0.9602,1.2384,1.2443,1.233,1.4228,1.4272,1.4061,0.8817,0.8912,0.8786,117.09,118.89,116.95,1.0571,1.0615,1.0556,0.6069,0.6168,0.604,132.73,133.8,132.56,110.77,112.18,110.56,1.1982,1.2038,1.1874,0.5911,0.5986,0.588
2020-04-02,1.0828,1.0969,1.0821,107.86,108.1,107.03,0.9745,0.9752,0.965,1.2376,1.2476,1.2351,1.4198,1.43,1.4079,0.8746,0.8865,0.874,116.78,117.72,116.34,1.0551,1.0603,1.0544,0.6035,0.612,0.6008,133.5,133.89,132.54,110.64,111.21,110.3,1.206,1.2077,1.1941,0.5898,0.5974,0.5881
2020-04-03,1.0808,1.0863,1.0773,108.38,108.68,107.82,0.9764,0.9796,0.9727,1.2259,1.2412,1.2206,1.4143,1.4225,1.4093,0.8814,0.8835,0.8742,117.16,117.38,116.73,1.0554,1.0584,1.0542,0.5996,0.6076,0.598,132.88,134.1,132.55,111.01,111.24,110.64,1.1971,1.2087,1.1947,0.5859,0.5924,0.5843
2020-04-06,1.08,1.0836,1.0772,109.01,109.38,108.37,0.9778,0.9795,0.9761,1.2307,1.2327,1.2211,1.4117,1.4262,1.4085,0.8773,0.8856,0.8766,117.75,118.31,117.17,1.0561,1.0583,1.0548,0.6089,0.6107,0.5992,134.17,134.53,132.55,111.44,111.92,110.91,1.2035,1.2051,1.1935,0.5932,0.5963,0.5851
2020-04-07,1.0904,1.0926,1.0784,108.82,109.28,108.68,0.9691,0.9794,0.9687,1.2338,1.2385,1.217,1.3989,1.4143,1.3945,0.8836,0.8862,0.8801,118.66,119.05,117.52,1.0565,1.0596,1.0557,0.6194,0.6209,0.6076,134.27,134.98,132.97,112.26,112.49,111.26,1.1954,1.2019,1.1917,0.5988,0.6016,0.592
2020-04-08,1.0866,1.0903,1.083,108.8,109.1,108.51,0.9708,0.9743,0.9688,1.2395,1.242,1.2288,1.4034,1.4082,1.3986,0.8764,0.8839,0.8746,118.22,118.71,117.92,1.0549,1.0573,1.0546,0.6236,0.6242,0.6116,134.86,135.02,133.72,112.03,112.41,111.75,1.2033,1.2064,1.1949,0.6023,0.6031,0.5941
2020-04-09,1.0929,1.0952,1.0841,108.4,109.07,108.21,0.9659,0.9734,0.9648,1.2453,1.2483,1.2362,1.4015,1.4078,1.3929,0.8773,0.8788,0.8726,118.47,119.01,118.07,1.0556,1.0584,1.0548,0.6319,0.6356,0.6196,135,135.76,134.65,112.22,112.53,111.89,1.2028,1.2092,1.2018,0.6063,0.6094,0.5986
